Journal,Permanence,Permits replication studies,Permits meta-analytic studies,Permits use of existing data,Requires data deposition
Bilingualism: Language and Cognition,Indefinite,✓,NA,NA,✓
Biolinguistics,Indefinite,✓,NA,NA,✓
Cognitive Linguistics,Indefinite,✓,NA,NA,✓
Glossa Psycholinguistics,Indefinite,TBA,TBA,TBA,TBA
Journal of Child Language,Indefinite,✓,NA,NA,NA
Journal of Memory and Language,Special issue only,✓,NA,NA,NA
"Journal of Speech, Language, and Hearing Research",NA,NA,NA,NA,NA
Language and Cognition,NA,NA,NA,NA,NA
Language and Speech,Indefinite,✓,NA,✓,✓
Language Learning,Indefinite,✓,✓,✓,✓
Linguistics,Indefinite,✓,NA,NA,✓
Neurobiology of Language,Indefinite,TBA,TBA,TBA,TBA
Second Language Research,NA,NA,NA,NA,NA
Journal of Memory and Language,Special issue only,✓,NA,NA,NA
